По городам и округам,Разбитие судов на реках каналах и озерах,Градобитий,Опустошения бурями,"Внезапные смертные случаи: Убитые грозою","Внезапные смертные случаи: От разных несчастных случаев","Внезапные смертные случаи: От невоздержания","Внезапные смертные случаи: От болезненных припадков","Внезапные смертные случаи: Утонувшие","Внезапные смертные случаи: Замерзшие","Найденные младенцы: Живые","Найденные младенцы: Мертвые",Наводнения,Землетрясения
В Красноярске,-,-,-,-,5,15,6,1,1,-,1,-,-
– округе оного,-,5,-,-,19,10,10,11,3,-,1,-,-
– Енисейске,-,-,-,-,5,3,1,1,6,-,-,-,-
– округе оного,1,1,-,-,20,6,15,14,2,-,4,-,-
– Ачинске,-,-,-,-,1,3,-,1,-,-,-,-,-
– округе оного,-,4,-,2,40,10,7,11,1,-,1,-,-
– Канске,-,-,-,-,-,-,1,-,-,-,-,-,-
– округе оного,-,1,-,1,35,7,13,10,2,-,1,-,-
– Минусинске,-,-,-,-,-,3,-,1,-,-,-,-,-
– округе оного,-,-,-,-,33,1,1,21,-,-,-,-,-
– Туруханском крае,2,-,-,-,-,-,-,-,-,-,-,-,-
Итого в губернии,3,11,-,3,158,59,55,71,15,-,8,-,-